rabat;Rabat
rabble a ɛkanyan nnipa;rabble rouser
rabi;rabbi
rabid a ɛyɛ hu;rabid
rabies a ɛyɛ hu;rabies
rabifo asɛm;rabbinical
raccoon kraman;raccoon dog
racemate a wɔde tu mmirika;racemate
raceme a wɔfrɛ no raceme;raceme
racemic a wɔde di dwuma;racemic
racemization a wɔde di dwuma;racemization
rachel;Rachel
rachis a wɔfrɛ no rachis;rachis
rack a wɔde yɛ nneɛma;rack
rack keteke kwan so;rack railway
racket a wɔde di dwuma;racket
raconteur a ɔyɛ ɔkwasea;raconteur
racquet a wɔde yɛ nneɛma;racquet
racy ho asɛm;racy
radar a wɔde di dwuma;radar
raddle;raddle
radial a wɔde di dwuma;radial
radian a wɔfrɛ no radian;radian
radiate a ɛyɛ hyew;radiate
radiator a wɔde yɛ nneɛma;radiator
radicalization a wɔde di dwuma;radicalization
radicalize;radicalize
radicchio a wɔfrɛ no radicchio;radicchio
radio afiri a wɔde hwɛ akyirikyiri;radio telescope
radio dwumadibea;radio station
radio so;radio
radio so asorɔkye;radio wave
radio so drama;radio drama
radio so nsoromma mu hwɛ;radio astronomy
radioactive a ɛtɔ gu fam;radioactive fallout
radioactive a ɛyɛ adwuma;radioactive
radioactivity a ɛma nipadua no yɛ adwuma;radioactivity
radiochemist ho ɔbenfo;radiochemist
radiochemistry ho adesua;radiochemistry
radioelectric a wɔde yɛ adwuma;radioelectric
radiograph a wɔde twa mfonini;radiograph
radiologist ho ɔbenfo;radiologist
radiology a wɔde yɛ adwuma;radiology
radiolysis a wɔde hyɛ nipadua mu;radiolysis
radiometer a wɔde hwɛ nneɛma so;radiometer
radiosonde a wɔde yɛ adwuma;radiosonde
radiotelefon so dwumadi;radiotelephony
radiotherapy a wɔde sa yare;radiotherapy
radish a wɔfrɛ no radish;radish
radium a wɔde di dwuma;radium
radius a ɛyɛ den;radius
radon a wɔfrɛ no radon;radon
raffle a wɔbɔ;raffle
raft a wɔde hyɛn mu;raft
rafter a wɔde yɛ adwuma;rafter
rafting a wɔde tu mmirika;rafting
rag;rag
rag doll a wɔde ntama ayɛ;rag doll
ragnarok na ɔkyerɛwee;Ragnarok
ragout a wɔde di dwuma;ragout
raider;raider
raisin a wɔde yɛ aduan;raisin
raison d’être a wɔde ma;raison d'être
rajah;rajah
rajasthan na ɛwɔ hɔ;Rajasthan
rake;rake
rakvere na ɔkyerɛwee;Rakvere
raków na ɛwɔ hɔ;Raków
rales;rales
ralph na ɔkyerɛwee;Ralph
ram a wɔde yɛ adwuma;RAM
ramadan a ɛwɔ hɔ;Ramadan
ramadan pa;Happy Ramadan
raman spectroscopy a wɔde hwehwɛ nneɛma mu;Raman spectroscopy
rambade na ɛyɛ;rambade
ramble;ramble
rambling a wɔde di dwuma;rambling
rambutan;rambutan
ramen a wɔfrɛ no ramen;ramen
ramesses na ɔkyerɛwee;Ramesses
ramify (ramify) a ɛwɔ hɔ;ramify
rammed asase;rammed earth
ramp a ɛkɔ soro;ramp
rampage a ɛyɛ hu;rampage
rampion a ɛyɛ hu;rampion
ramrod a wɔde di dwuma;ramrod
ranch a wɔde yɛ mmoa;ranch
rancid a ɛyɛ mmerɛw;rancid
