q atiridiinini;Q fever
qadaritefoɔ;Qadarite
qatar mantam a ɛwɔ hɔ;State of Qatar
qatar na ɛwɔ hɔ;Qatar
qatarfoɔ;Qatari
qed;QED
qin mmepɔw so;Qin Mountains
qing ahemman no;Qing dynasty
qipao;qipao
qom;Qom
quack a ɔyɛ ɔkwasea;quack
quackery a wɔde di dwuma;quackery
quacksalver a wɔde yɛ aduru;quacksalver
quadrature a ɛyɛ ahinanan;quadrature
quadriga a ɛyɛ quadriga;quadriga
quadrille a ɛyɛ quadrille;quadrille
quadriplegic a ɛyɛ mmerɛw;quadriplegic
quadripole a ɛyɛ anan;quadripole
quaffable a ɛyɛ den;quaffable
quaint a ɛyɛ nwonwa;quaint
quakerfoɔ;Quaker
quantile a ɛyɛ den;quantile
quantization a wɔde yɛ nneɛma;quantization
quantum a wɔde hyɛ mu;quantum entanglement
quantum a ɛyɛ den;quantum
quantum ahurututu;quantum leap
quantum akontaahyɛde;quantum number
quantum dot a ɛyɛ fɛ;quantum dot
quantum meruit a ɛyɛ nea ɛwɔ hɔ;quantum meruit
quantum mfiri a wɔde yɛ adwuma;quantum mechanical
quantum mfiridwuma ho nimdeɛ;quantum mechanics
quark;quark
quark a ɛba fam;down quark
quark a ɛwɔ ase;bottom quark
quark a ɛwɔ soro;top quark
quark a ɛyɛ nwonwa;strange quark
quart;quart
quarterdeck a ɛyɛ fɛ;quarterdeck
quartile a ɛyɛ anan;quartile
quartz a wusiw wom;smoky quartz
quartz a wɔfrɛ no quartz;quartz
quartzite a wɔde yɛ nneɛma;quartzite
quasar (quasar) a wɔfrɛ no quasar;quasar
quash a wɔde yɛ adwuma;quash
quasiparticle a ɛyɛ ade ketewaa bi;quasiparticle
quaternion a ɛwɔ afã abien;quaternion
quatrain a ɛyɛ anan;quatrain
quaver a ɛwosow;quaver
qubit;qubit
quebec na ɛwɔ hɔ;Quebec
quebecerfo na wɔte saa;Quebecer
quebracho a wɔde kyerɛw nsɛm;quebracho
quechua;Quechua
quechuan kasa;Quechuan
queef;queef
queer a ɛyɛ nwonwa;queer
queer nsusuwii;queer theory
quell;quell
quench;quench
quentin na ɔkyerɛwee;Quentin
querulant a ɛyɛ asɛm;querulant
querétaro na ɔkyerɛwee;Querétaro
quethe;quethe
quetzal a wɔde di dwuma;quetzal
quetzalcoatl na ɔkyerɛwee;Quetzalcoatl
quibble a ɛyɛ hu;quibble
quiche;quiche
quicklime a ɛyɛ ntɛm;quicklime
quidditch a wɔde di dwuma;Quidditch
quiddity a ɛyɛ nwonwa;quiddity
quill;quill
quince a ɛyɛ fɛ;quince
quinceañera a wɔfrɛ no quinceañera;quinceañera
quincunx;quincunx
quinidine a wɔde di dwuma;quinidine
quinine a wɔde di dwuma;quinine
quinoa a wɔfrɛ no quinoa;quinoa
quinoline a wɔde yɛ nnuru;quinoline
quinone a wɔfrɛ no quinone;quinone
quinoprotein a ɛwɔ nipadua no mu;quinoprotein
quintal a ɛyɛ den;quintal
quintana roo na ɔkyerɛwee;Quintana Roo
quintessence a ɛyɛ nokware;quintessence
quintessential a ɛyɛ nea ɛho hia;quintessential
quintet a wɔde wɔn ho ahyɛ mu;quintet
quintile;quintile
quintillion a ɛyɛ ɔpepem pii;quintillion
quip;quip
quipu;quipu
quirk a ɛyɛ nwonwa;quirk
quirky a ɛyɛ nwonwa;quirky
quisling a wɔde di dwuma;quisling
quito;Quito
quiver;quiver
quixotic a ɛyɛ hu;quixotic
quorum no;quorum
quota;quota
quotient a wɔde di dwuma;quotient
qwerty;qwerty
