m'ahohoahoa;my pleasure
ma;for
ma;full
ma;give away
ma;give
ma;let
ma;ma
ma;provide
ma aduannuru;nourish
ma asomdwoe;pacify
ma awerɛhyem;assure
ma awerɛhyem;reassure
ma awo no;give rise to
ma emu da hɔ;elucidate
ma hann mmra;let there be light
ma kwan;allow
ma kwan;approve
ma kwan;enable
ma kwan;grant
ma kwan;permit
ma me;give me
ma me kwan;excuse me
ma nea ɛsom bo;for what it's worth
ma nkurɔfo ani gye ho;popularise
ma nkurɔfo hu;make known
ma nnyinasoɔ;justify
ma nsateaa bi so;lift a finger
ma nsateaa no;give the finger
ma nsuo ma nsuo;moisturize
ma obi abɔ dam;drive someone crazy
ma obi ne obi nkɔ;keep someone company
ma obi ntumi nkɔ baabiara;immobilize
ma obi nyɛ biribi;urge
ma obi so;elevate
ma obi yɛ mmerɛw;debilitate
ma obiako;for one
ma skru bi a ɛho ayɛ hare;have a screw loose
ma so;exalt
ma ti;give head
ma tumi;empower
ma tumi krataa;authorize
ma wo akwaaba;congratulate
ma wo nsa so;surrender
ma wo tebea no yɛ nea ɛfata;acclimatize
ma wogyae;let loose
ma wonhu;let know
ma wonya ahonyade;enrich
ma wɔn abam mmu;let down
ma w’ani nna hɔ;keep an eye on
ma ɛntra w’adwenem;bear in mind
ma ɛnyɛ den;simplify
ma ɛyɛ dɛ;sweeten up
ma ɛyɛ hare;lighten
ma ɛyɛ kɛse;exacerbate
ma ɛyɛ mmara kwan so de;legitimize
ma ɛyɛ mmerɛw;smoothen
ma ɛyɛ pɛ;equalize
maame;mother
maame wata;fairy
maca;maca
macabre a ɛyɛ hu;macabre
macadamia a wɔde yɛ aduan;macadamia nut
macadamia a wɔfrɛ no macadamia;macadamia
macaque a wɔfrɛ no macaque;macaque
macaroni a wɔde ma;macaroni
macaronic a wɔde di dwuma;macaronic
macaroon a wɔde yɛ nneɛma;macaroon
macau;Macau
macaw a wɔfrɛ no macaw;macaw
macbook a ɛwɔ hɔ;MacBook
maccabee;Maccabee
mace;mace
macedoine a wɔde yɛ aduru;macedoine
macerate a wɔde hyɛ nipadua mu;macerate
maceration a wɔde yɛ nneɛma;maceration
macerator a wɔde yɛ nneɛma;macerator
mach;Mach
machete a wɔde di dwuma;machete
machiavellian na ɔkyerɛwee;Machiavellian
machismo a wɔde yɛ adwuma;machismo
macho a wɔfrɛ no macho;macho
macho nipa;macho man
machu picchu na ɔkyerɛwee;Machu Picchu
maciate a ɛyɛ mmerɛw;emaciate
