Saami;Saamifoɔ
Saarland;Saarland na ɔkyerɛwee
Sabbath;Homeda
sabbatical;homeda bere mu
sable;sable
sabot;sabot na ɛyɛ
sabotage;nneɛma a wɔsɛe no
saboteur;saboteur a ɔsɛe ade
sabre saw;saber saw a wɔde hwɛɛ ade
sabre-toothed tiger;ɔsebɔ a ne sẽ yɛ sabre
sabre;saber
saccade;saccade a wɔde di dwuma
saccharification;saccharification a wɔde ma
saccharify;saccharify ho asɛm
saccharin;saccharin a wɔfrɛ no saccharin
saccharine;saccharine a wɔde yɛ aduru
saccharometer;saccharometer a wɔde susuw nneɛma ho
sack man;kotokuo nipa
sack;pamo
sackbut;kotokuo nanso
sackcloth;atweaatam
sacralization;kronkronyɛ
sacrament;sakrament
sacramental;sakramentfoɔ
Sacramento;Sacramento na ɛwɔ hɔ
sacred cow;nantwi kronkron
sacred fig;borɔdɔma kronkron
sacred fir;fir kronkron
sacred ibis;ibis kronkron
sacred kingfisher;ɔhene mpataayifo kronkron
sacred;nyankosɛm
sacrificatory;afɔrebɔ a wɔde bɔ afɔre
sacrifice;afɔdeɛ
sacrificial;afɔrebɔ
sacrilege;afɔrebɔ a wɔde bɔ afɔre
sacrilegious;afɔrebɔde a wɔde ma
sacrilegiously;afɔrebɔ mu
sacristan;sacristan a ɔyɛ ɔkyerɛkyerɛfo
sacristy;sacristy a wɔde di dwuma
sacrosanct;kronkron a ɛyɛ kronkron
sacrum;sacrum (sacrum) a ɛwɔ nipadua no mu
sad;awerɛhow
sadden;awerɛhow
saddle blanket;saddle blanket a wɔde hyɛ mu
saddle point;saddle point
saddle;saddle
saddlebag;saddlebag a wɔde hyɛ apɔnkɔ so
saddler;saddler
sadism;sadism a wɔde di dwuma
sadistic;sadistic a ɔyɛ ɔsadweam
sadly;awerɛhosɛm ne sɛ
sadness;awerɛhowdi
sadomasochism;sadomasochism a wɔde di dwuma
safari;safari a wɔde yɛ safari
safe and sound;ahobammɔ ne ahotɔ
safe sex;nna a ahobammɔ wom
safe-conduct;ahobammɔ-abrabɔ
safe-deposit box;adaka a wɔde nneɛma gu mu
safe;ɔhaw nni ho
safeguard;ahobammɔ
safehouse;ahobammɔ dan
safety pin;ahobammɔ pin
safety;ahwɛyie
safflower;safflower a ɛyɛ fɛ
saffron;safron a wɔde yɛ safrone
sag;sag
saga;saga
sagacious;nyansapɛfo
sagaciously;nyansapɛ mu
sagacity;sagacity a ɛyɛ nwonwa
sage grouse;sage grouse a ɔyɛ ɔbenfo
sage;sage
sagebrush;sagebrush a wɔde yɛ sagebrush
saggar;saggar a ɛyɛ saggar
Sagitta;Sagitta na ɔkyerɛwee
sagittal;sagittal a ɛyɛ den
Sagittarius;Sagittarius a ɛwɔ nipadua no mu
sago pudding;sago pudding a wɔde yɛ aduan
sago;sago
saguaro;saguaro na ɛyɛ
Sagunto;Sagunto na ɔkyerɛwee
Sahara;Sahara na ɛwɔ hɔ
Sahrawi;Sahrawi
said and done;kaa na ɔyɛɛ
said;kaa
saiga;saiga
sail;fa po so
sailboat;hyɛmma a wɔde po so hyɛn tu kwan
sailfish;po so hyɛn mu mpataa
sailing ship;hyɛn a ɛde po so hyɛn tu kwan
sailing;nam po so
sailor;hyɛn mu adwumayɛfo
sainfoin;sainfoin a wɔde di dwuma
Saint Andrew's cross;Ɔhotefo Andrew mmeamudua
Saint Barbara;Ɔhotefo Barbara
Saint Bernard;Ɔhotefo Bernard
Saint George;Ɔhotefo George
Saint Helena;Ɔhotefo Helena
Saint Lucia;Ɔhotefo Lucia
Saint Lucian;Ɔhotefo Lucian
Saint Mary;Ɔhotefo Maria
Saint Nicholas;Ɔhotefo Nicholas
Saint Petersburg;Ɔhotefo Petersburg
Saint-Denis;Saint-Denis na ɔkyerɛwee
saint;ɔhotefo
sainthood;ahotefoyɛ
Saiva;Saiva a wɔfrɛ no Saiva
sake;nti
saker;saker
Sakhalin;Sakhalin kasa
Sakmarian;Sakmarian a ɔyɛ ɔkyerɛwfo
salaam alaikum;salaam alaikum
salacious;salacious
salaciousness;salaciousness a ɛyɛ fɛ
salacity;salacity a ɛyɛ fɛ
salad bowl;salad kuruwa a wɔde yɛ salad
salad;salad a wɔde yɛ salad
Saladin;Saladin na ɔkyerɛwee
Salamanca;Salamanca na ɔkyerɛwee
salamander;salamander a wɔfrɛ no salamander
salami;salami
Salamis;Salamifoɔ
salary;akatua
salat;salat a wɔde di dwuma
salbutamol;salbutamol a wɔde yɛ aduru
sale;adetɔn
saleable;wotumi tɔn
Salekhard;Salekhard na ɔkyerɛwee
Salerno;Salerno na ɔkyerɛwee
sales pitch;adetɔn ho asɛm
salesman;adetɔnfo
