La Gomera;La Gomera na ɔkyerɛwee
La Laguna;La Laguna na ɛwɔ hɔ
La Mancha;La Mancha na ɛwɔ hɔ
La Paz;La Paz na ɔkyerɛwee
La Pérouse Strait;La Pérouse Asubɔnten no
La Rioja;La Rioja na ɛwɔ hɔ
Laban;Laban
label;ahyɛnsoɔ
labeling;nkyerɛwde a wɔde kyerɛw nneɛma
labellum;labellum a wɔde ahyɛ mu
labia majora;labia majora a ɛyɛ mmerɛw
labia minora;labia nketewa
labia;labia
labialization;labialization a wɔde hyɛ nipadua mu
labile;labile
labiodental;labiodental a ɛwɔ ntini mu
labium;labium a wɔfrɛ no labium
labor market;adwumayɛfo gua so
laboratory;aduruyɛdan mu
labored breathing;ahome a ɛyɛ adwumaden
laborer;odwumayɛni
laborious;adwumaden a ɛyɛ den
labour;brɛ
Labrador;Labrador na ɔkyerɛwee
labyrinth;labyrinth a ɛyɛ nwonwa
labyrinthine;labyrinthine a ɛyɛ nwonwa
labyrinthitis;labyrinthitis a ɛma obi ho yɛ hyew
lac;lac
lace;lace a wɔde ayɛ
laceration;laceration a ɛyɛ mmerɛw
Lacerta;Lacerta na ɔkyerɛwee
lachanophobia;lachanophobia a ɛyɛ hu
laches;laches na ɛyɛ
lachrymose;lachrymose a ɛyɛ mmerɛw
lack;nni
lackadaisical;lackadaisical a ɛnyɛ nokware
lackey;lackey no
lackluster;a ɛnyɛ nea ɛhyerɛn
laconic;laconic a ɛyɛ laconic
laconism;laconism a wɔde di dwuma
lacquer;lacquer a wɔde yɛ nneɛma
lacrimal gland;nusu ntini a ɛma nusu
lacrimal;lacrimal a ɛyɛ hu
lacrimation;nusu a wɔde gu obi so
lacrosse;lacrosse a wɔde di dwuma
lactase;lactase a wɔfrɛ no lactase
lactic acid;lactic acid a wɔde yɛ aduru
lactic;lactic a ɛyɛ lactic
lactometer;lactometer a wɔde susuw nneɛma ho
lactone;lactone a wɔde yɛ adwuma
lactose intolerance;lactose a wontumi nnyina ano
lactose;lactose a wɔde yɛ adwuma
lacuna;lacuna a ɛyɛ mmerɛw
lacustrine;ɔtare a ɛwɔ ɔtare mu
lad;lad
ladder;atwedeɛ
laden;adesoa a wɔde ahyɛ mu
ladies and gentlemen;mmaa ne mmarima
ladies first;ladies di kan
Ladinian;Ladinian kasa
Ladino;Ladino na ɔkyerɛwee
Ladislaus;Ladislaus na ɔkyerɛwee
ladle;ladle a wɔde yɛ adwuma
lady's man;lady no nipa
lady-in-waiting;lady-in-waiting a ɔretwɛn
lady;ɔbaa
ladybird;ladybird a ɔyɛ ɔkraman
ladyship;ladyship a ɔyɛ
Laertes;Laertes na ɔkyerɛwee
lag;lag
lagerpetid;lagerpetid a wɔfrɛ no lagerpetid
lagniappe;lagniappe a wɔde yɛ adwuma
lagoon;lagoon a ɛwɔ hɔ
Lagrange point;Lagrange asɛm no
lahar;lahar
laicize;laicize (laicize) a
laid-back;laid-back a wɔde wɔn ho hyɛ mu
lain;lain
lair;lair
laity;asɔremma
Lake Erie;Ɔtare Erie
Lake Huron;Ɔtare Huron
Lake Michigan;Michigan Ɔtare no
Lake Ontario;Ontario Ɔtare no
Lake Superior;Ɔtare Superior a ɛwɔ hɔ
Lake Victoria;Ɔtare Victoria
lake;sutadeɛ
Lakota;Lakotafo a wɔyɛ saa
laksa;laksa
lama;lama
lamaism;lamasom
Lamanite;Lamanfo
Lamb of God;Onyankopɔn Adwammaa
lamb;adwama
lambda;lambda a wɔde ma
lambdacism;lambdacism a wɔde di dwuma
lame duck;ananse a ɔyɛ apakye
lame;deɛ ɛyɛ mrɛ
lamella;lamella
lament;awerɛhowdi
lamentable;ɛyɛ awerɛhow
Lamentations;Kwadwom
lamia;lamia
laminar;laminar a wɔde di dwuma
laminate flooring;laminate a wɔde ayɛ fam
laminate;laminate a wɔde yɛ adwuma
laminated;a wɔde laminated ayɛ
lamination;lamination a wɔde yɛ adwuma
lammergeier;lammergeier na ɛyɛ adwuma
lamp;kanea
lampas;lampas
lampoon;lampoon a wɔde di dwuma
lamppost;kanea dua
lamprey;lamprey a wɔfrɛ no lamprey
