c major;C major
c'mon;c'mon
cabal;cabal
cabana;cabana
cabaret a wɔde di dwuma;cabaret
cabergoline a wɔde yɛ aduru;cabergoline
cabernet sauvignon a wɔde yɛ aduan;Cabernet Sauvignon
cabin abarimaa;cabin boy
cabin no mu;cabin
cable;cable
cable television so;cable television
cable tie a wɔde kyekyere;cable tie
cableway a wɔde fa nhama so;cableway
caboose a wɔde di dwuma;caboose
cabriolet a wɔde yɛ nneɛma;cabriolet
cabstand a wɔde gyina hɔ;cabstand
cache a wɔde sie;cache
cache-ɔbarima ne ɔbea nna;cache-sexe
cacique a wɔfrɛ no cacique;cacique
cackle a ɛyɛ hu;cackle
cacomixl na ɛyɛ adwuma;cacomixl
cacophonous a wɔde di dwuma;cacophonous
cacophony a wɔde di dwuma;cacophony
cactus a wɔfrɛ no cactus;cactus
cadastre a wɔde ahyɛ mu;cadastre
caddis nwansena;caddis fly
cadence a ɛyɛ fɛ;cadence
cadence a ɛyɛ nokware;authentic cadence
cadiz na ɔkyerɛwee;Cadiz
cadmium a wɔde yɛ nneɛma;cadmium
cadre;cadre
caecum (caecum) a wɔfrɛ no caecum;caecum
caelum na ɔkyerɛwee;Caelum
caesura a wɔde hyɛ obi nsa;caesura
cafe a ɛwɔ kwan ho;sidewalk cafe
caffeine a ɛwɔ nipadua no mu;caffeine
café;café
café au lait na ɛwɔ hɔ;café au lait
cagliari na ɔkyerɛwee;Cagliari
cahoots a wɔde di dwuma;cahoots
caid;caid
caiman na ɔkyerɛwee;caiman
caipirinha na ɛyɛ adwuma;caipirinha
cairn a ɛyɛ fɛ;cairn
cairo na ɛwɔ hɔ;Cairo
cajetan na ɔkyerɛwee;Cajetan
cajole na ɛyɛ adwuma;cajole
calabash a wɔde yɛ calabash;calabash
calaboose a ɛyɛ hu;calaboose
calabria na ɛwɔ hɔ;Calabria
calamari na ɛyɛ;calamari
calced no;calced
calcic a ɛyɛ den;calcic
calcisol a wɔde di dwuma;calcisol
calcite a wɔde yɛ adwuma;calcite
calcium a wɔde yɛ adwuma;calcium
calcium hydroxide a wɔde yɛ aduru;calcium hydroxide
calcium oxide a wɔde yɛ adwuma;calcium oxide
calculus a wɔde kyerɛw nsɛm;calculus
calcutta na ɛwɔ hɔ;Calcutta
caldera a wɔde yɛ adwuma;caldera
caledonia foforo;New Caledonia
caledonia na ɛwɔ hɔ;Caledonia
calenture a wɔde di dwuma;calenture
cali;Cali
caliber a wɔde yɛ adwuma;calibre
calibrate na ɛyɛ adwuma;calibrate
calico;calico
california;California
californiani;Californian
californium a wɔde yɛ adwuma;californium
calimocho a wɔfrɛ no calimocho;calimocho
caliper a wɔde yɛ adwuma;caliper
calipers a wɔde yɛ nneɛma;calipers
caliph;caliph
caliphate a ɔyɛ ɔmanpanyin;caliphate
calisthenics ho nimdeɛ;calisthenics
callipygian a wɔde frɛ nkurɔfo;callipygian
callisto na ɔkyerɛwee;Callisto
callope a wɔfrɛ no calliope;calliope
callous;callous
callovian na ɔkyerɛwee;Callovian
callus a wɔfrɛ no callus;callus
calorie a ɛwɔ nipadua no mu;calorie
calorimeter a wɔde susuw nneɛma ho;calorimeter
calorimetric a wɔde kyerɛ sɛnea nneɛma te;calorimetric
calorimetry a wɔde kyerɛ sɛnea nneɛma te;calorimetry
calque (calque) a wɔfrɛ no calque;calque
caltrop a wɔfrɛ no caltrop;caltrop
calumniate a wɔde di dwuma;calumniate
calvados na ɔkyerɛwee;Calvados
calvinfo a ɔyɛ ɔdefo;Calvinist
calyculus a ɛwɔ nipadua no mu;calyculus
calypter a wɔde yɛ adwuma;calypter
calyptra a wɔfrɛ no calyptra;calyptra
calyx a ɛyɛ den;calyx
calzone a wɔde yɛ adwuma;calzone
caló;Caló
camaraderie a wɔde wɔn ho hyɛ mu;camaraderie
camargue na ɔkyerɛwee;Camargue
camber a wɔde yɛ adwuma;camber
cambium a wɔfrɛ no cambium;cambium
cambodia kasa;Cambodian
cambodia na ɛwɔ hɔ;Cambodia
cambrian ɔtopae a ɛpaee;Cambrian explosion
cambridge;Cambridge
camellia a wɔfrɛ no camellia;camellia
camelopardalis a wɔfrɛ no camelopardalis na ɛyɛ aduru;Camelopardalis
cameo a wɔde yɛ adwuma;cameo
camerlengo na ɔkyerɛwee;camerlengo
cameroon kasa;Cameroonian
cameroon na ɛwɔ hɔ;Cameroon
camilla na ɔkyerɛwee;Camilla
camisole a wɔde yɛ adwuma;camisole
camomile a wɔde yɛ nneɛma;camomile
camouflage a wɔde kata wɔn ho;camouflage
campania na ɛwɔ hɔ;Campania
campeche na ɔkyerɛwee;Campeche
camphor a wɔfrɛ no camphor;camphor
camping;camping
campion a ɛwɔ hɔ;campion
camshaft a wɔde hyɛ mu;camshaft
can opener;can opener
cana;Cana
canada;Canada
canada akɔre;Canada goose
canada dɔla;Canadian dollar
canadafo;Canadian
canal;canal
canapé;canapé
canard;canard
canary a ɛyɛ nwonwa;canary
canary nsupɔw so;Canary Islands
canary supɔw soni;Canary Islander
canasta;canasta
canberra na ɛwɔ hɔ;Canberra
candela a ɛyɛ fɛ;candela
candy apɔw-mu-teɛteɛ;candy apple
candy bar a wɔde yɛ aduru;candy bar
candy cane a wɔde yɛ aduru;candy cane
candy floss a wɔde yɛ aduru;candy floss
cane toad a wɔfrɛ no cane toad;cane toad
canes venatici na ɔkyerɛwee;Canes Venatici
cangue (cangue) a wɔfrɛ no cangue;cangue
canid;canid
canine a wɔfrɛ no canine;canine
caninus ntini a ɛwɔ nipadua no mu;caninus muscle
canis kumaa a ɔyɛ ɔbaabun;Canis Minor
canis ɔsraani panyin;Canis Major
canistel a wɔde yɛ nneɛma;canistel
canister a wɔde gu mu;canister
cannae na ɛyɛ adwuma;Cannae
cannizzaro sɛnea ɔyɛ n’ade;Cannizzaro reaction
cannoli a wɔde yɛ nneɛma;cannoli
cannula a wɔde hyɛ nipadua mu;cannula
canny a ɛyɛ fɛ;canny
canola;canola
canon a wɔde di dwuma;canon
canonical a wɔde di dwuma;canonical
canonry a wɔde kyerɛw nsɛm;canonry
canopus a ɛwɔ hɔ;Canopus
canopy a ɛyɛ fɛ;canopy
cantabria na ɛwɔ hɔ;Cantabria
cantabrian kasa;Cantabrian
cantaloupe a wɔde yɛ nneɛma;cantaloupe
cantankerous a ɛyɛ nwonwa;cantankerous
canteen no mu;canteen
canter a wɔde di dwuma;canter
canterbury na ɛwɔ hɔ;Canterbury
cantonese kasa;Cantonese
canvas a wɔde ayɛ;canvas
canvass a wɔde kyerɛw nsɛm;canvass
canyon;canyon
cap;cap
cap-haïtien na ɔkyerɛwee;Cap-Haïtien
capacious;capacious
capacitance a ɛyɛ den;capacitance
capacitive a ɛyɛ den;capacitive
capacitor a wɔde yɛ adwuma;capacitor
cape;cape
cape canaveral na ɛwɔ hɔ;Cape Canaveral
cape gooseberry a ɛyɛ fɛ;cape gooseberry
cape gyata;Cape lion
cape horn na ɛwɔ hɔ;Cape Horn
cape of anidaso pa;Cape of Good Hope
cape teal a ɛwɔ hɔ;Cape teal
cape town na ɛwɔ hɔ;Cape Town
cape verde na ɛwɔ hɔ;Cape Verde
cape verdefo a wɔyɛ adwuma wɔ hɔ;Cape Verdean
capella na ɔkyerɛwee;Capella
caper;caper
capercaillie a wɔde hyɛ nipadua mu;capercaillie
capillarity a ɛma mogya tu;capillarity
capillary a ɛwɔ nipadua no mu;capillary
capillary adeyɛ a ɛyɛ adwuma;capillary action
capisce a ɛyɛ hu;capisce
capitaniafo a wɔyɛ adwuma wɔ hɔ;Capitanian
capitate dompe a ɛwɔ nipadua no mu;capitate bone
capon;capon
caponata;caponata
caponier a wɔde yɛ adwuma;caponier
