Q fever;Q atiridiinini
Qadarite;Qadaritefoɔ
Qatar;Qatar na ɛwɔ hɔ
Qatari;Qatarfoɔ
QED;QED
Qin Mountains;Qin Mmepɔw so
Qing dynasty;Qing ahemman no
qipao;qipao
Qom;Qom
quack;quack a ɔyɛ ɔkwasea
quackery;quackery a wɔde di dwuma
quacksalver;quacksalver a wɔde yɛ aduru
quad bike;sakre a ɛyɛ quad
quadrangular;ahinanan a ɛyɛ ahinanan
quadrature;quadrature a ɛyɛ ahinanan
quadriga;quadriga a ɛyɛ quadriga
quadrilateral;afã anan a ɛwɔ afã anan
quadrilingual;kasa anan a wɔde di dwuma
quadrille;quadrille a ɛyɛ quadrille
quadriplegic;quadriplegic a ɛyɛ mmerɛw
quadripole;quadripole a ɛyɛ anan
quadruped;a ne nan yɛ anan
quadruple;mmɔho anan
quaffable;quaffable a ɛyɛ den
quagmire;atɛkyɛ a ɛyɛ atɛkyɛ
quail;kwadu
quaint;quaint a ɛyɛ nwonwa
Quaker;Quakerfoɔ
qualification;abodinkrataa
qualified;a wɔfata
qualify;fata
qualitative;nea ɛfa su ho
quality control;nneɛma a ɛyɛ papa a wɔhwɛ so
quality of life;asetra pa
quality;papa
qualm;adwenem naayɛ
quandary;ahodwiriwde
quantify;dodow a wɔde kyerɛ
quantile;quantile a ɛyɛ den
quantitative easing;dodow mu mmerɛwyɛ
quantity;dodoɔ
quantization;quantization a wɔde yɛ nneɛma
quantum dot;quantum dot a ɛyɛ fɛ
quantum entanglement;quantum a wɔde hyɛ mu
quantum leap;quantum ahurututu
quantum mechanical;quantum mfiri a wɔde yɛ adwuma
quantum mechanics;quantum mfiridwuma ho nimdeɛ
quantum meruit;quantum meruit a ɛyɛ nea ɛwɔ hɔ
quantum number;quantum akontaahyɛde
quantum;quantum a ɛyɛ den
quarantine;kwarantan
quark;quark
quarrel;ɔham
quarry;abo a wɔde tu fam
quart;quart
quarter past;nkyem anan mu biako a atwam
quarter to;nkyem anan mu biako kosi
quarter;nkyɛmu nnan mu baako
quarterdeck;quarterdeck a ɛyɛ fɛ
quarterly;bosome mmiɛnsa biara
quarters;nkyem anan mu biako
quartet;nnwontofo kuw baanan
quartile;quartile a ɛyɛ anan
quartz;quartz a wɔfrɛ no quartz
quartzite;quartzite a wɔde yɛ nneɛma
quasar;quasar (quasar) a wɔfrɛ no quasar
quash;quash a wɔde yɛ adwuma
quasiparticle;quasiparticle a ɛyɛ ade ketewaa bi
quaternion;quaternion a ɛwɔ afã abien
quatrain;quatrain a ɛyɛ anan
quaver;quaver a ɛwosow
quay;hyɛn gyinabea
qubit;qubit
Quebec;Quebec na ɛwɔ hɔ
Quebecer;Quebecerfo na wɔte saa
quebracho;quebracho a wɔde kyerɛw nsɛm
Quechua;Quechua
Quechuan;Quechuan kasa
queef;queef
queen bee;ɔhemmaa ntɛtea
queen dowager;ɔhemmaa awarefo
queen of clubs;ɔhemmaa a ɔhwɛ nnua so
queen of diamonds;ɔhemmaa a ɔyɛ abohene
queen of hearts;akoma mu hemmaa
queen of spades;ɔhemmaa a ɔyɛ spades
queen;ɔhemaa
queer theory;queer nsusuwii
queer;queer a ɛyɛ nwonwa
quell;quell
quench;quench
Quentin;Quentin na ɔkyerɛwee
querulant;querulant a ɛyɛ asɛm
query language;asɛmmisa kasa
query;abisa
Querétaro;Querétaro na ɔkyerɛwee
quest;hwehwɛ a wɔhwehwɛ
question mark;asɛmmisa agyiraehyɛde
question;asɛmmisa
questionably;akyinnye biara nni ho
questionnaire;nsɛmmisa kratasin
quethe;quethe
quetzal;quetzal a wɔde di dwuma
Quetzalcoatl;Quetzalcoatl na ɔkyerɛwee
queue;dɔm
quibble;quibble a ɛyɛ hu
quiche;quiche
quick;ntɛm
quicklime;quicklime a ɛyɛ ntɛm
quickly;ntɛm so
quickness;ntɛm a wɔyɛ
quicksand;anhwea a ɛyɛ nkwa
quicksilver;dwetɛ a ɛyɛ nkwa
Quidditch;Quidditch a wɔde di dwuma
quiddity;quiddity a ɛyɛ nwonwa
quiescent;a ɛyɛ komm
quiet down;yɛ komm
quiet;dinn
quietly;kommyɛ mu
quietness;kommyɛ
quill;quill
quilt;ntoma ntaataasoɔ
quince;quince a ɛyɛ fɛ
quinceañera;quinceañera a wɔfrɛ no quinceañera
quincunx;quincunx
quinidine;quinidine a wɔde di dwuma
quinine;quinine a wɔde di dwuma
quinoa;quinoa a wɔfrɛ no quinoa
quinoline;quinoline a wɔde yɛ nnuru
quinone;quinone a wɔfrɛ no quinone
quinoprotein;quinoprotein a ɛwɔ nipadua no mu
quinquagenarian;mfe anum a wɔde di dwuma
quinquennial;mfe anum a wɔde yɛ adwuma
quintal;quintal a ɛyɛ den
Quintana Roo;Quintana Roo na ɔkyerɛwee
quintessence;quintessence a ɛyɛ nokware
quintessential;quintessential a ɛyɛ nea ɛho hia
quintet;quintet a wɔde wɔn ho ahyɛ mu
quintile;quintile
quintillion;quintillion a ɛyɛ ɔpepem pii
quintuple;mmɔho anum
quintuplet;anum a ɛto so abien
quip;quip
quipu;quipu
quirk;quirk a ɛyɛ nwonwa
quirky;quirky a ɛyɛ nwonwa
quisling;quisling a wɔde di dwuma
quit;gyae
quite a few;kakraa bi pɛ
quite;ara
Quito;Quito
quiver;quiver
quixotic;quixotic a ɛyɛ hu
quiz;sɔhwɛ
quorum;quorum no
quota;quota
quotation marks;nsɛm a wɔafa aka
quotation;asɛnka
quote;asɛnka
quotidian;da biara da
quotidianly;da biara da
quotient;quotient a wɔde di dwuma
Qur'an;Kur’aan
qwerty;qwerty
