x-ray a wɔde kyerɛ;X-ray
xanthine a wɔde yɛ aduru;xanthine
xanthous a wɔde di dwuma;xanthous
xavier na ɔkyerɛwee;Xavier
xebec;xebec
xenia;xenia
xenocide a wɔde kum nnipa;xenocide
xenocrates a ɔyɛ ɔmanpanyin;Xenocrates
xenon;xenon
xenophanes na ɔkyerɛwee;Xenophanes
xenophon na ɔkyerɛwee;Xenophon
xenotransplantation a wɔde ma obi foforo;xenotransplantation
xerography a wɔde kyerɛw nsɛm;xerography
xerophthalmia a ɛma obi yɛ ade;xerophthalmia
xerophthalmic a wɔde di dwuma;xerophthalmic
xerox a wɔfrɛ no xerox;xerox
xerxes na ɔkyerɛwee;Xerxes
xhosa kasa mu;Xhosa
xi;xi
xiamen na ɔkyerɛwee;Xiamen
xiangsheng na ɔkyerɛwee;xiangsheng
xinjiang na ɛwɔ hɔ;Xinjiang
xo sauce a wɔde yɛ aduan;XO sauce
xor;xor
xylan na ɔkyerɛwee;xylan
xylem;xylem
xylene a wɔfrɛ no xylene;xylene
xylitol a wɔde yɛ nneɛma;xylitol
xylography a wɔde kyerɛw nsɛm;xylography
xylophone a wɔde di dwuma;xylophone
xylophone ho nimdefo;xylophonist
xylose a wɔfrɛ no xylose;xylose
xylulose a wɔde yɛ adwuma;xylulose
